,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0072,0.0106,0.0964,0.1449,0.1785,0.1885,0.1842
Portfolio_02,0.0095,0.0234,0.0234,0.019,0.0115,0.0114,0.0128
Portfolio_03,0.02,0.0224,0.0438,0.0984,0.1107,0.1139,0.1796
Portfolio_04,0.0094,0.0231,0.0217,0.0128,0.0118,0.0437,0.0893
Portfolio_05,0.0108,0.0094,0.0047,0.0073,0.0105,0.0219,0.0341
