backend,mixer,metric,p,mean,std
qasm,XY ring,1_minus_r,6,0.0905192816842884,0.03349597242978242
qasm,XY ring,1_minus_r,7,0.08543340455975552,0.03293113981898765
qasm,XY ring,p_opt,1,0.09611499999999999,0.05026740768131971
qasm,XY ring,p_opt,2,0.16782500000000003,0.0857818971287066
qasm,XY ring,p_opt,3,0.19371500000000003,0.10434708560855928
qasm,XY ring,p_opt,4,0.24368499999999998,0.13194750954451548
qasm,XY ring,p_opt,5,0.290215,0.14306624086415357
qasm,XY ring,p_opt,6,0.33221999999999996,0.1683381792701822
qasm,XY ring,p_opt,7,0.35534,0.17884700277052448
qasm,XY ring,cost,1,-0.09428409440481643,0.10032785423933362
qasm,XY ring,cost,2,-0.13522505753490383,0.10391257641046081
qasm,XY ring,cost,3,-0.14403780798609878,0.10303940424031428
qasm,XY ring,cost,4,-0.15230061547126136,0.10842798190666707
qasm,XY ring,cost,5,-0.15727818169130114,0.10983428887831038
qasm,XY ring,cost,6,-0.16050628983821214,0.10951310570922827
qasm,XY ring,cost,7,-0.1628399721674743,0.1100432714621183
qasm,XY ring parity,1_minus_r,1,0.22751853326629828,0.05631224989354187
qasm,XY ring parity,1_minus_r,2,0.14317697595599946,0.05399803988621835
qasm,XY ring parity,1_minus_r,3,0.12458174968551232,0.046557256100046115
qasm,XY ring parity,1_minus_r,4,0.10876027498705598,0.0405385434064233
qasm,XY ring parity,1_minus_r,5,0.09983520502510838,0.04005076399850298
qasm,XY ring parity,1_minus_r,6,0.09251708347033494,0.03976395097153617
qasm,XY ring parity,1_minus_r,7,0.08873306251525714,0.039453937584063174
qasm,XY ring parity,p_opt,1,0.08798500000000001,0.051444428998677794
qasm,XY ring parity,p_opt,2,0.16242,0.11584922787830743
qasm,XY ring parity,p_opt,3,0.18818500000000002,0.124704423638458
qasm,XY ring parity,p_opt,4,0.24052499999999996,0.13959739924153314
qasm,XY ring parity,p_opt,5,0.273445,0.14954583402756494
qasm,XY ring parity,p_opt,6,0.31067999999999996,0.17296040182654523
qasm,XY ring parity,p_opt,7,0.32833,0.1827501056087246
qasm,XY ring parity,cost,1,-0.09098989939058713,0.10096624470932711
qasm,XY ring parity,cost,2,-0.13518138307181238,0.10844127066380616
qasm,XY ring parity,cost,3,-0.1444169728179953,0.11051225998041342
qasm,XY ring parity,cost,4,-0.15315000131407755,0.11349455040332736
qasm,XY ring parity,cost,5,-0.15866729914040037,0.11698211065526867
qasm,XY ring parity,cost,6,-0.1625903734023311,0.11843068242233427
qasm,XY ring parity,cost,7,-0.1646096030522432,0.11992542485349383
qasm,XY full,1_minus_r,1,0.1641676968942024,0.03161164685888125
qasm,XY full,1_minus_r,2,0.10810249909728857,0.028073292443348316
qasm,XY full,1_minus_r,3,0.08489636846392737,0.02493847233072381
qasm,XY full,1_minus_r,4,0.07570788285115268,0.0267497504387834
qasm,XY full,1_minus_r,5,0.06955305252393326,0.026145124409131828
qasm,XY full,1_minus_r,6,0.0640080457422447,0.025713348725210482
qasm,XY full,1_minus_r,7,0.06167302851310976,0.027507037052197578
qasm,XY full,p_opt,1,0.149695,0.07658085579960569
qasm,XY full,p_opt,2,0.24640500000000004,0.10454154425394717
qasm,XY full,p_opt,3,0.336615,0.13964722795315343
qasm,XY full,p_opt,4,0.37306,0.1644003996345508
qasm,XY full,p_opt,5,0.418895,0.1799299571361034
qasm,XY full,p_opt,6,0.464195,0.18327426299128854
qasm,XY full,p_opt,7,0.47790499999999997,0.19029447305426397
qasm,XY full,cost,1,-0.12144445907736659,0.09801485328179506
qasm,XY full,cost,2,-0.15223418086691498,0.10744186222116779
qasm,XY full,cost,3,-0.16428259657462568,0.11367841764266487
qasm,XY full,cost,4,-0.1695464569679747,0.11753152832945352
qasm,XY full,cost,5,-0.17265548129121952,0.11853843378124954
qasm,XY full,cost,6,-0.17500645364695172,0.11801033903366347
qasm,XY full,cost,7,-0.17621949440144022,0.1180903699902568
qasm,QAMPA,1_minus_r,1,0.18091057539901073,0.0377966192092809
qasm,QAMPA,1_minus_r,2,0.12244128297046361,0.029490411145340442
qasm,QAMPA,1_minus_r,3,0.1002191767125871,0.031368699201594824
qasm,QAMPA,1_minus_r,4,0.08737628936154444,0.032208160235916924
qasm,QAMPA,1_minus_r,5,0.08205722683881272,0.03444465872830963
qasm,QAMPA,1_minus_r,6,0.07818943885177816,0.03571520511498172
qasm,QAMPA,1_minus_r,7,0.0764640752291419,0.035907869059615065
qasm,QAMPA,p_opt,1,0.13596,0.07370477867818342
qasm,QAMPA,p_opt,2,0.222185,0.1184244665388027
qasm,QAMPA,p_opt,3,0.296895,0.167730645604791
qasm,QAMPA,p_opt,4,0.358325,0.200206248341554
qasm,QAMPA,p_opt,5,0.39310000000000006,0.21302326398776258
qasm,QAMPA,p_opt,6,0.4210249999999999,0.22417490018956182
qasm,QAMPA,p_opt,7,0.433555,0.23335298257146833
qasm,QAMPA,cost,1,-0.113972580987481,0.09916706056872153
qasm,QAMPA,cost,2,-0.1443056279880539,0.10581725631325598
qasm,QAMPA,cost,3,-0.15713954203260178,0.11644707265946713
qasm,QAMPA,cost,4,-0.16358701690580008,0.11900696892505463
qasm,QAMPA,cost,5,-0.1666953627880291,0.12125625364916738
qasm,QAMPA,cost,6,-0.16856947105890768,0.12188681107068379
qasm,QAMPA,cost,7,-0.16922159410549717,0.12156451534998773
